Negative_words,Frequency
product,400
not,2306
unlocked,382
statetd,6
awful,64
find,102
day,192
christmas,36
iphone,742
activated,84
brazil,12
existing,8
technology,12
gsm,22
therefore,18
cdma,14
work,684
frustrated,28
no,568
information,44
would,538
looked,78
phones,172
know,164
iphones,46
could,266
phone,4138
arrived,80
dead,120
battery,886
bad,856
disappointed,458
spent,72
around,32
3,160
hours,172
another,170
apple,406
support,50
trying,104
get,538
wifi,164
final,8
determination,4
grossly,4
defective,54
icon,6
even,360
light,14
let,30
alone,18
addition,10
wasting,16
time,388
also,256
wasted,56
$60,10
straight,22
talk,38
activation,14
kit,10
returned,126
amazon,266
waiting,24
refund,110
advertised,92
excellent,4
condition,102
received,222
scratches,62
screen,446
pops,6
one,606
corner,26
accessories,44
fake,98
mispelled,4
word,8
we'll,4
company,100
shipped,10
either,52
messed,22
fedex,8
way,90
didn't,236
supposed,40
isn't,38
bothered,8
per,4
se,12
activating,12
new,490
found,92
verizon,326
two,154
previous,46
ownersi,4
contacted,48
go,108
blew,6
end,48
beat,10
attrition,4
hold,150
charge,406
charger,248
90%,10
cost,32
$100,24
replace,74
horrible,164
rate,28
write,24
review,54
power,122
button,240
sticky,12
slow,280
touch,60
takes,18
multiple,40
hits,4
app,50
open,58
obvious,8
face,14
described,54
description,62
device,110
however,128
glitches,28
thereafter,6
disappointing,78
within,86
2,176
weeks,138
speaker,112
function,26
stopped,144
working,298
since,84
march,6
2013,18
issues,94
3-way,4
calling,32
feature,12
turn,142
offthen,6
back,424
conference,8
lastly,4
volume,52
side,50
mutes,4
malfunctioned,6
causing,14
ring,16
silenced,4
pay,94
getand,4
used,240
made,78
leary,4
ever,148
purchasing,24
waited,12
long,218
live,24
central,6
america,16
can't,194
return,268
waste,226
money,416
reality,10
sprint,104
completely,92
useless,130
considering,8
provider,22
unit,16
refunded,6
quick,22
cell,88
didn,6
well,200
letters,12
dorsn,6
canot,6
police,6
returnso,6
cable,40
wasnt,14
original,40
like,396
said,212
camera,124
isnt,4
100%,38
fuctional,2
really,178
worked,152
scratched,38
pretty,64
semi,4
dropped,46
never,220
bought,476
went,126
activate,130
purchased,162
stolen,56
carrier,72
wouldn't,120
bribe,4
kid,4
$40,8
finally,52
tried,128
credit,10
,446
got,340
nothing,78
headache,4
reception,20
keeps,26
downloading,6
programs,2
don't,372
buy,436
port,26
months,204
drains,2
unexpectedly,2
followed,6
instructions,30
clearing,4
sending,30
i've,96
realized,12
happens,14
mostly,6
use,388
maps,10
yesterday,6
60%,14
took,176
hd,4
photo,2
16%,2
unreliable,8
terribly,12
expensive,36
super,36
seller,340
via,30
matter,14
paid,78
than,328
usual,2
assured,4
old,116
refurbished,156
instead,48
last,102
quarter,2
2015,8
lot,78
defects,4
calls,128
getting,82
connectedthe,2
text,42
messages,28
receive,80
sent,152
replacement,74
heated,16
suddenly,14
dangerous,2
morethis,2
purchase,202
wast,2
come,94
chargeraccessories,4
false,60
advertising,38
lousy,10
life--3,2
full,62
hear,128
call,126
second,74
send,132
big,58
realize,12
asked,36
at&t,130
ruined,8
surprised,16
called,38
though,88
box,112
turned,72
store,194
story,10
short,18
ended,40
cutting,16
losses,2
paying,32
actual,14
highly,10
discounted,2
supplier,8
disengaged,2
apps,112
still,148
won't,126
4,180
unlock,132
fault,24
none,10
busyness,4
poor,100
quality,122
recommend,106
month,118
owning,10
trouble,60
docking,4
station,10
home,162
inconvenient,8
worried,6
going,102
stop,24
charging,74
together,8
claimed,18
returnable,4
unfortunate,14
already,76
days,186
left,46
barely,28
respond,28
forever,12
dies,60
fast,40
mobile,108
bougth,4
life,124
recharge,14
became,18
hot,14
offon,4
perfectly,4
less,124
18,4
stupid,26
thing,86
continuously,14
restarting,12
unusable,24
returns,6
mess,6
didnt,46
offer,16
clear,36
concise,8
put,72
sim,244
card,204
eyesight,8
microsim,8
slot,34
remove,30
tweezers,8
wont,22
hangs,10
speak,16
five,14
minutes,76
6,58
total,54
connect,60
anything,118
cellular,20
ugh,10
frustrating,46
far,40
date,44
look,36
article,4
3gs,34
yet,36
3g,56
right,58
wrong,150
deception,2
constantly,44
froze,10
ago,62
beginning,28
capacity,6
81%,2
according,6
5,130
without,88
using,102
die,24
50%,6
connected,44
plugged,42
50,12
%,14
charged,70
continues,2
okay,10
due,64
upgrade,30
option,18
flashlight,2
thank,44
u,34
great,80
except,32
loosing,2
network,50
connectivity,10
randomly,112
especially,26
often,46
loudly,2
order,104
person,52
i'm,204
sayingall,2
disappointment,30
runs,14
shown,4
came,230
locked,146
poorly,12
maintained,2
looking,38
thrown,6
plug,20
doesn't,244
returning,64
appeared,20
broken,194
kinda,16
satisfied,10
need,114
mom,12
week,116
usage,28
try,66
make,146
things,80
iti,12
see,74
year,56
warranty,98
sticker,10
packaging,34
anyone,62
contact,64
listing,10
please,44
wasn't,72
sucks,64
duplicate,6
soon,48
check,56
whether,6
originanl,2
save,28
wireless,22
"market""i",2
display,10
gone,16
service,152
center,40
checked,20
facing,6
many,32
complaint,26
purchasesi,2
shockedi,2
felt,14
lonely,2
cheated,12
giant,2
helpless,2
depressed,2
gift,90
wife,28
shame,8
insulted,2
aware,2
lied，and,2
new，,2
isbroken，the,2
ten,4
minutes，charging,2
difficult。so,2
angry,8
meet,20
advertisedphone,2
black,110
spouse,2
wanted,58
white,76
fear,4
online,22
spending,14
entire,16
issue,30
faulty,20
hardware,12
fall,10
trap,2
products,46
comes,46
problems,126
speakers,84
sound,30
failed,48
chinese,42
quirks,6
solid,8
tool,6
us,46
curious,4
checking,6
serial,42
number,68
against,6
lost,66
list,16
mistake,36
buying,108
4s,116
vendor,26
previously,12
listed,18
amazon's,6
z,2
guarantee,8
position,2
ordered,112
16gb,46
model,26
a1241,4
living,4
africa,4
friend,24
bring,18
visited,4
terrible,124
100,6
percent,22
goes,40
100-0,4
real,22
loses,8
10,50
every,60
connection,18
hard,86
loading,6
always,56
turns,40
shopping,8
2010,6
production,4
oh,18
dikembe,4
mutumbo,4
consulted,4
customer,84
lock,34
admit,4
seriously,24
introduction,4
believe,30
problem,210
solve,32
sorry,42
best,6
recently,14
started,94
glitching,10
unable,128
restart,14
showing,2
blinking,4
applications,6
frustration,6
high,26
connecting,4
itunes,20
corrupted,2
account,38
delete,6
reinstall,2
virus,4
computer,14
displeased,10
promised,32
spend,40
amount,22
fixed,34
struggling,4
greetings,4
reembolseme,4
much,110
inconvenience,8
hate,80
android,58
keep,66
cannot,94
gets,38
stay,64
want,132
give,96
star,40
opened,26
screws,18
missing,72
along,16
connector,14
clip,14
antenna,16
miss,16
placed,18
result,22
little,142
ability,12
hidden,8
damage,56
settings,26
set,30
rarely,4
makes,34
disspointment,4
giving,18
sometimes,102
boots,4
risking,4
registered,12
someone,76
else,46
changed,30
bahamas,2
pissed,12
phoneis,2
worthless,16
needed,54
frame,4
prime,8
item,94
functional,20
acceptable,6
cosmetic,6
appearance,8
expectations,26
low,46
upon,18
receipt,8
filthy,8
built,8
grime,2
crevices,2
yellow,10
discoloration,2
likely,14
noticed,42
frequently,8
mic,14
draining,8
quickly,34
pick,10
deal,30
complete,28
lemon,6
may,62
good,158
you're,12
rolling,2
dice,2
numbers,16
hated,6
couldn't,108
afford,14
change,80
different,48
smart,20
husband,32
convinced,4
dumb,4
upset,30
piece,46
junk,38
first,112
rival,2
brand,54
ones,26
clean,18
unfortunately,40
esn,8
marked,4
