Positive_words,Frequency
wifi,478
not,9632
working,1520
,2606
goodworking,2
good,7508
problem,1214
battery,2406
doesn`t,6
charge,1026
properlythe,2
charger,1248
generic,30
one,3214
doiesn't,2
properly,246
buy,1984
wow,34
well,1792
built,86
phone,22070
features,426
premium,46
thin,152
easy,738
hold,390
screen,2618
bright,174
clear,390
access,102
camera,1154
decent,218
operating,92
system,180
close,132
vanilla,12
android,748
little,698
changes,48
makes,200
breeze,10
use,2746
user,248
interface,86
fast,1440
slick,26
lags,50
ever,410
small,346
issue,508
tray,66
loads,14
sim,1640
microsd,36
card,1536
know,710
sdcard,2
slightly,66
proportions,2
like,3648
4,1178
look,360
professional,44
nice,1404
nervous,58
buying,530
perfect,1488
condition,2214
love,2268
it<3,2
ordered,662
5,910
ended,110
getting,488
iphone,5118
5s,116
guess,152
lucky,52
excellent,1554
satisfied,576
4s,984
-,1016
ting,10
bill,16
55,112
month,472
two,580
us,322
plenty,90
data,356
texts,112
minuteseasy,2
setup,84
purchased,704
appearance,44
however,620
life,694
3,874
hours,400
long,618
way,634
get,2160
replacement,398
already,410
coming,118
apart,68
phonenot,4
even,1534
passed,30
swelling,4
much,1354
forcing,6
glass,160
separate,24
frame,32
order,466
hopefully,80
rectify,6
along,56
super,260
glue,16
put,520
back,1678
together,40
great,7044
purchase,1218
recommend,1096
everyone,140
careful,66
seller,1566
blank,32
apple,1580
apps,860
came,1974
reset,122
menu,50
pc,28
chinese,148
works,3914
kenya,4
sound,528
muffled,12
using,980
everything,1234
wanted,500
happy,1600
sure,584
may,360
replaced,240
part,194
refurb,14
show,114
standard,94
logo,24
product,2476
information,116
serial,126
number,354
printed,12
stick,44
label,68
really,1700
willing,58
trust,70
thing,656
without,714
legitimate,12
especially,222
uses,114
stock,162
photo,68
showing,42
normal,128
identifiers,6
disappointed,176
unlocked,1914
take,594
carrier,400
beware,58
dud,6
sensitive,18
goes,146
mute,24
speaker,368
facetime,60
calls,410
business,180
conference,2
communicating,4
disconnects,2
receiving,88
important,78
losing,18
valuable,2
time,2130
read,246
money,830
track,22
conversation,20
refurbished,674
sigh,2
weeks,334
cell,572
ring,86
nor,62
dings,24
msgs,2
vibrate,14
though,506
checked,132
settings,188
notifications,36
truly,78
received,1274
01,4
02,4
bought,1902
could,1090
trulink,6
hearing,44
aids,6
sync,56
starkey,6
aid,16
expected,696
amazon,1176
lick,6
die,50
best,666
price,2168
0,28
complainsthe,6
brand,1200
newand,12
im,182
caracas,6
venezuela,150
troublei,6
think,486
models,52
come,454
europe,50
cause,82
people,450
incorporates,6
adaptor,24
plug,134
daughter,362
went,554
team,50
loves,454
change,158
thanks,774
buen,24
producto,56
thrilled,46
can't,756
complain,120
lot,622
would,2844
let,238
supposed,184
verizon,986
compatible,168
sprint,426
dynamic,2
isn't,220
described,954
used,1622
that's,312
broken,144
everything's,2
exterior,38
streaked,4
pink,16
lines,36
perfectly,630
never,810
behavior,6
apparatus,4
light,410
beautiful,136
tried,444
activate,382
told,434
reported,92
lost,238
stolen,274
obviously,54
positive,84
say,658
refund,384
minimal,38
hassle,62
okay,142
i've,712
factory,356
items,132
scuffs,40
scratches,802
enough,342
notice,70
id,42
password,66
alert,14
continues,20
pop,56
unfamiliar,4
usernames,4
than,1978
start,164
bumps,12
new,4578
wall,142
cable,298
delivered,234
day,928
early,234
friend,194
device,622
no,3870
problems,1076
activating,92
far,922
mail,116
sooner,42
easily,224
unravled,2
end,268
still,1074
barely,130
hanging,12
doubt,42
last,514
mobile,280
work,2664
3g,228
band,94
2g,70
lte,198
also,1230
onetouch,62
stream,22
awesome,564
inch,84
display,280
crisp,66
loud,268
front,486
facing,184
jbl,140
speakers,606
free,276
quality,992
ear,140
buds,56
rival,6
samsung,258
galaxy,214
s5,20
morning,72
simply,94
sat,6
wife,238
next,260
enjoy,104
beauty,10
lolthe,2
make,654
difference,136
i'll,164
go,764
alcatel,424
favor,22
beast,6
beat,108
ok,596
description,516
said,1020
able,770
4g,200
wrong,220
kindly,12
suggest,82
delete,30
point,194
form,76
page,84
prompt,50
delivery,360
straight,360
talk,444
got,2148
dust,20
skin,20
particles,2
charging,392
port,96
wouldn't,344
needle,4
remove,58
crap,38
broke,166
week,372
late,342
purple,14
splotch,2
middle,44
months,576
spot,58
gone,66
faded,4
away,276
something,428
mean,64
fine,1074
dead,108
return,774
exchange,112
gsm,264
30,144
manufacturer,34
warranty,216
needless,14
haven't,250
worry,52
good-used,4
wasn't,482
rubbing,6
putter,4
metal,28
otter,24
box,862
entire,36
i'm,1396
1st,46
happily,6
converted,18
lover,18
😃,4
arrived,1054
shape,286
conditions,140
article,16
actual,50
country,112
looking,554
big,614
fairly,60
quick,342
loading,32
handles,20
many,528
want,778
currently,78
40+,2
counting,4
bloatware,46
bluetooth,152
range,92
video,230
average,78
streaming,26
music,400
see,534
drawbacks,6
drawback,16
foreseeable,2
oneone,2
removable,36
shut,76
"""read",2
"me""",2
app,364
running,160
reading,92
text,242
messages,88
alternative,16
stop,102
itthe,44
difficulty,24
dual,214
sd,224
must,164
tool,28
balance,20
chips,34
slide,26
tremble,2
inserting,14
seem,136
impossible,18
chip,82
pulling,8
flying,2
trashall,2
hands,80
owned,128
highly,342
case,610
protector,180
several,214
reviews,374
fragile,14
phones,1218
opinionone,2
consider,90
runs,170
601,40
marshmallow,66
don't,1280
researched,8
yet,378
ways,24
upgrade,314
os,162
rear,40
cameras,80
activated,360
chore,2
done,204
need,832
expensive,142
activation,82
kit,42
web,104
site,40
likely,42
call,540
wasnt,60
unlockedwtf,2
didnt,164
truth,14
spend,156
going,512
fix,208
iti,48
gonna,50
celphone,6
lense,8
camara,4
scratched,86
cannot,300
picture,178
sticker,42
info,78
stuck,128
directly,54
shipped,252
chubbiestech,4
exactly,670
company,450
logos,2
jailbroken,28
deal,590
future,122
shopping,78
iphonesthe,2
3gs,310
seems,508
fully,176
including,88
cell-radio,2
t-mobile,404
pre-pay,2
gps-a,4
map,8
applications,80
"""off-line""",2
meaning,36
turned-off,2
radio,48
relied,2
completely,278
configuration,10
magellan,2
"""tough",2
"case""",6
batterygpsr,2
waterproof,8
casethe,2
volkswagen,4
media,68
mdi,2
bothered,8
test,74
headphone,104
connection,82
sorry,30
gizmos,2
play-backbluetooth,2
links-up,2
in-car,2
hands-free,2
thingwifi,2
home,544
setupitunes,2
"""likes""",2
8gb,82
total,72
memory,280
carry,30
off-line,2
bunch,22
audio,136
books,18
play,250
car,100
radiooverall,2
daily,72
treo,2
680,2
'leave,2
car',2
simple,176
cube,16
phoneupdate,4
process,82
took,634
drop,76
fed-ex,2
place,158
informed,66
greengrapeamazon,2
responded,38
promptly,120
overnighted,6
worked,990
job,166
correcting,2
mistake,52
first,1244
slight,58
scratch,254
noticeable,72
second,200
absolutely,202
failswe,2
black,216
white,240
steal,36
customer,398
service,972
sealed,118
imei,52
associated,10
another,756
account,234
tmobile,122
overall,434
try,316
hardware,106
tweaks,14
actually,306
sense,34
underdog,2
underdogs,2
hard,320
offers,66
clearly,144
onespecifications,2
wise,42
won't,324
serious,38
game,48
lag,154
opening,66
drive,40
space,102
expandable,40
surprising,8
parabénspara,4
loja,4
que,76
vendeu,4
32gbesse,4
aparelho,4
é,4
tudo,8
de,90
bom,8
nos,8
momentos,4
atuaisele,4
resolve,38
e,40
ti,14
deixa,4
perto,4
dos,6
familiares,4
amigostem,4
coisa,4
melhor,4
se,36
tem,4
nao,4
conheço,4
mi,16
apresenteapple,4
estar,6
parabènshoje,4
com,6
meu,4
iphone4,36
sou,4
pessoa,4
mais,4
felizobrigada,4
amazed,24
htc,106
m8,22
idol,394
sounds,80
kind,170
dissaponted,2
resolution,90
low,454
dark,30
spaces,4
compared,190
worth,374
double,122
tap,138
doesn't,890
react,10
loved,252
reverse,12
headphones,312
add,114
phonei'm,12
telling,32
nearly,54
high,330
class,14
looks,982
feelssounds,2
amazing,394
worries,10
usage,104
night,116
itfully,2
recommended,172
helped,48
boyfriend,12
complaints,164
previously,52
honestly,82
wouldnt,20
tell,266
extremely,188
wonderful,172
exceed,12
expectation,46
online,194
potentially,4
issuesgot,2
charm,78
issues,624
internet,276
slow,370
connected,122
outstanding,62
definitely,408
yes,182
recieved,102
item,778
defective,178
unlockec,2
pretty,614
bit,326
basic,94
functions,132
chats,6
shouldnt,2
face,76
troubles,22
served,44
purpose,54
needed,498
phonewasn't,6
purchasing,196
iphonebut,10
6flawless,6
returned,326
itreturn,4
seemed,110
network-unlocked,6
lockdefinitely,6
expect,146
certified,76
advertised,566
dents,66
housing,6
reflected,2
wear,114
tear,36
flawless,54
fell,34
short,150
100%,220
otherwise,132
